cve_muni,tamloc_mediana,grado_marginacion
07079,1.5,Alto
07080,1.5,Muy alto
07081,1.5,Muy alto
07082,1,Muy alto
07083,1.5,Alto
07084,1,Alto
07085,1.5,Alto
07086,2,Medio
07087,1.5,Alto
07088,1,Alto
07089,2,Bajo
07090,1,Alto
07091,1.5,Medio
07092,1.5,Alto
07093,1.5,Muy alto
07094,2,Alto
07096,1.5,Muy alto
07097,2,Medio
07098,1.5,Muy alto
07099,1.5,Alto
07100,1.5,Muy alto
07101,2,Muy bajo
07102,1.5,Alto
07103,1.5,Alto
07104,1.5,Alto
07105,1.5,Alto
07106,2,Alto
07107,1.5,Alto
07108,2,Alto
07109,2,Muy alto
07110,1.5,Muy alto
07111,1.5,Muy alto
07112,1.5,Muy alto
07113,1,Alto
07114,1.5,Alto
07115,1,Muy alto
07116,1,Alto
07117,1.5,Alto
07118,1.5,Muy alto
07119,1,Muy alto
08001,1.5,Bajo
08002,2,Muy bajo
08003,1.5,Bajo
08004,1.5,Muy bajo
08005,1.5,Bajo
08006,1,Bajo
08007,1,Muy alto
08008,1,Muy alto
08009,1.5,Alto
08010,1.5,Bajo
08011,2,Muy bajo
08012,1,Alto
08013,1.5,Bajo
08014,1,Medio
08015,1,Bajo
08016,1,Bajo
08017,2,Muy bajo
08018,1,Bajo
08019,3,Muy bajo
08020,1,Muy alto
08021,2,Muy bajo
08022,1,Bajo
08023,1,Bajo
08024,1,Bajo
08025,1.5,Bajo
08026,1,Bajo
08027,1.5,Muy alto
08028,1.5,Bajo
08029,1.5,Muy alto
08030,1,Alto
08031,1.5,Bajo
08032,3,Muy bajo
08033,1,Alto
08034,1.5,Bajo
08035,1.5,Bajo
08036,2,Muy bajo
08037,2,Muy bajo
08038,1,Bajo
08039,1,Bajo
08040,2,Bajo
08041,1,Muy alto
08042,1,Bajo
08043,1,Bajo
08044,1.5,Bajo
08045,2,Muy bajo
08046,1,Muy alto
08047,1,Alto
08048,1.5,Bajo
08049,1,Alto
08050,2.5,Muy bajo
08051,1,Medio
08052,2,Muy bajo
08053,1,Bajo
08054,1,Bajo
08055,1.5,Bajo
08056,1,Medio
08057,1,Medio
08058,1,Bajo
08059,1.5,Muy bajo
08060,1.5,Muy bajo
08061,1,Medio
08062,1.5,Bajo
08063,1,Medio
08064,1,Medio
08065,1,Muy alto
08066,1,Muy alto
08067,1,Medio
09002,5,Muy bajo
09003,5,Muy bajo
09004,3,Muy bajo
09005,5,Muy bajo
09006,5,Muy bajo
09007,5,Muy bajo
09008,3,Muy bajo
09009,2,Bajo
09010,3,Muy bajo
09011,2.5,Muy bajo
09012,2.5,Muy bajo
09013,3,Muy bajo
09014,5,Muy bajo
09015,5,Muy bajo
09016,5,Muy bajo
09017,5,Muy bajo
10001,1.5,Medio
10002,1,Alto
10003,1,Alto
10004,1.5,Bajo
10005,2,Muy bajo
10006,1,Alto
10007,2,Muy bajo
10008,2,Bajo
10009,1.5,Medio
10010,1,Bajo
10011,1,Bajo
10012,2,Muy bajo
10013,1.5,Bajo
10014,1,Muy alto
10015,1.5,Medio
10016,1.5,Medio
10017,1.5,Bajo
10018,1.5,Bajo
10019,1,Muy alto
10020,1.5,Bajo
10021,1.5,Medio
10022,1.5,Bajo
10023,2,Alto
10024,1.5,Medio
10025,1,Alto
10026,1.5,Medio
10027,1,Alto
10028,1.5,Medio
10029,1,Bajo
10030,1,Medio
10031,1.5,Medio
10032,2,Bajo
10033,1.5,Medio
10034,1,Muy alto
10035,1.5,Medio
10036,1.5,Bajo
10037,1,Alto
10038,2,Muy bajo
10039,1.5,Bajo
11001,2,Medio
11002,2,Bajo
11003,2,Bajo
11004,2,Bajo
11005,2,Bajo
11006,1,Alto
11007,2,Muy bajo
11008,1.5,Medio
11009,2,Medio
11010,1.5,Medio
11011,2,Bajo
11012,1.5,Medio
11013,1.5,Medio
11014,2.5,Medio
11015,2.5,Muy bajo
11016,1.5,Bajo
11017,2,Muy bajo
11018,2,Bajo
11019,1.5,Alto
11020,2.5,Muy bajo
11021,2,Muy bajo
11022,1.5,Medio
11023,2,Medio
11024,1.5,Medio
11025,2,Bajo
11026,2,Medio
11027,2,Muy bajo
11028,2,Bajo
11029,1.5,Alto
11030,2,Medio
11031,2.5,Bajo
11032,2,Bajo
11033,2,Medio
11034,1,Alto
11035,2,Medio
11036,1.5,Medio
11037,2,Bajo
11038,1.5,Bajo
11039,1.5,Medio
11040,1,Alto
11041,2.5,Bajo
11042,2,Bajo
11043,1.5,Medio
11044,2,Bajo
11045,1,Alto
11046,2,Medio
12001,2,Bajo
12002,1.5,Muy alto
12003,1.5,Muy alto
12004,1.5,Muy alto
12005,1.5,Alto
12006,1.5,Alto
12007,2,Alto
12008,1.5,Muy alto
12009,1,Muy alto
12010,1.5,Muy alto
12011,2,Medio
12012,2,Muy alto
12013,1.5,Alto
12014,1.5,Medio
12015,1.5,Bajo
12016,1,Muy alto
12017,1.5,Medio
12018,1.5,Alto
12019,1.5,Muy alto
12020,1.5,Muy alto
12021,1.5,Alto
12022,1.5,Alto
12023,1.5,Alto
12024,1,Alto
12025,1.5,Muy alto
12026,1,Alto
12027,1.5,Alto
12028,2,Muy alto
12029,2,Bajo
12030,1.5,Alto
12031,1,Muy alto
12032,1.5,Muy alto
12033,1.5,Alto
12034,2,Medio
12035,2,Bajo
12036,1.5,Muy alto
12037,1.5,Alto
12038,2,Bajo
12039,1.5,Medio
12040,1.5,Alto
12041,1,Muy alto
12042,1.5,Muy alto
12043,1.5,Muy alto
12044,1.5,Alto
12045,1.5,Muy alto
12046,2,Alto
12047,1,Muy alto
12048,2,Medio
12049,1.5,Medio
12050,2,Bajo
12051,1.5,Muy alto
12052,1.5,Muy alto
12053,1.5,Alto
12054,1.5,Muy alto
12055,2,Medio
12056,1.5,Alto
12057,2,Alto
12058,2,Alto
12059,1.5,Alto
12060,1,Alto
12061,2,Alto
12062,1.5,Muy alto
12063,1,Muy alto
12064,1.5,Alto
12065,1,Muy alto
12066,2,Alto
12067,1.5,Alto
12068,1.5,Alto
12069,1.5,Muy alto
12070,1.5,Alto
12071,1.5,Muy alto
12072,1,Muy alto
12073,1.5,Muy alto
12074,1.5,Muy alto
12075,2,Alto
12076,1,Muy alto
12077,1.5,Alto
12078,1.5,Muy alto
12079,1,Muy alto
12080,1.5,Alto
12081,1,Muy alto
13001,1,Medio
13002,1.5,Alto
13003,2,Bajo
13004,1,Alto
13005,1.5,Bajo
13006,1,Medio
13007,1.5,Medio
13008,2,Bajo
13009,1.5,Bajo
13010,1.5,Muy bajo
13011,1,Alto
13012,1.5,Medio
13013,1.5,Muy bajo
13014,1.5,Alto
13015,1,Alto
13016,2,Medio
13017,1,Alto
13018,1.5,Alto
13019,1,Medio
13020,1,Alto
13021,1.5,Muy bajo
13022,1.5,Bajo
13023,1.5,Bajo
13024,1,Medio
13025,1.5,Muy alto
13026,1,Alto
13027,1.5,Muy alto
13028,2,Medio
13029,1.5,Bajo
13030,2,Bajo
13031,1.5,Alto
13032,1.5,Medio
13033,1,Alto
13034,1,Alto
13035,1,Medio
13036,1,Medio
13037,1.5,Alto
13038,1,Alto
13039,1.5,Muy bajo
13040,1,Muy alto
13041,2,Muy bajo
13042,1.5,Medio
13043,1,Muy alto
13044,1,Medio
13045,1,Medio
13046,1.5,Alto
13047,1,Muy alto
13048,2,Muy bajo
13049,1,Alto
13050,2,Muy bajo
13051,2,Muy bajo
13052,1.5,Bajo
13053,1.5,Alto
13054,1.5,Bajo
13055,1,Medio
13056,2,Bajo
13057,1.5,Medio
13058,1.5,Medio
13059,1.5,Medio
13060,1,Alto
13061,2,Muy bajo
13062,1,Alto
13063,2,Muy bajo
13064,1,Bajo
13065,1.5,Muy bajo
13066,1.5,Bajo
13067,1.5,Bajo
13068,1,Alto
13069,2,Muy bajo
13070,1.5,Bajo
13071,1,Muy alto
13072,1.5,Muy bajo
13073,1.5,Alto
13074,1.5,Bajo
13075,1.5,Muy bajo
13076,2,Muy bajo
13077,2,Muy bajo
13078,1,Muy alto
13079,1,Alto
13080,1.5,Muy alto
13081,2,Bajo
13082,1.5,Bajo
13083,1.5,Bajo
13084,1.5,Medio
14001,1.5,Bajo
14002,1.5,Muy bajo
14003,2,Muy bajo
14004,1.5,Medio
14005,1.5,Muy bajo
14006,2,Muy bajo
14007,1.5,Bajo
14008,2,Bajo
14009,1.5,Muy bajo
14010,1.5,Bajo
14011,1,Medio
14012,1,Bajo
14013,2,Muy bajo
14014,1.5,Bajo
14015,2,Muy bajo
14016,1.5,Medio
14017,1.5,Bajo
14018,2,Bajo
14019,1,Muy alto
14020,1.5,Medio
14021,1.5,Bajo
14022,2,Bajo
14023,2.5,Muy bajo
14024,1.5,Bajo
14025,1.5,Bajo
14026,1.5,Bajo
14027,1.5,Alto
14028,1,Medio
14029,1.5,Medio
14030,2,Muy bajo
14031,1,Alto
14032,1.5,Medio
14033,1.5,Bajo
14034,1,Muy bajo
14035,2,Bajo
14036,1.5,Muy bajo
14037,2,Muy bajo
14038,1,Medio
14039,5,Muy bajo
14040,1.5,Medio
14041,1.5,Bajo
14042,1.5,Alto
14043,1.5,Bajo
14044,1.5,Muy bajo
14045,1.5,Medio
14046,2,Bajo
14047,2,Bajo
14048,1.5,Medio
14049,1,Medio
14050,2,Bajo
14051,1.5,Muy bajo
14052,1.5,Bajo
14053,2,Bajo
14054,1.5,Bajo
14055,2,Bajo
14056,1,Alto
14057,1.5,Bajo
14058,1.5,Muy bajo
14059,1.5,Bajo
14060,1.5,Bajo
14061,1,Muy alto
14062,1,Medio
14063,2.5,Muy bajo
14064,1.5,Bajo
14065,1.5,Bajo
14066,1.5,Bajo
14067,2.5,Muy bajo
14068,1.5,Medio
14069,1,Medio
14070,2,Muy bajo
14071,1,Alto
14072,1.5,Bajo
14073,2,Muy bajo
14074,1.5,Muy bajo
14075,1.5,Bajo
14076,1,Medio
14077,1.5,Bajo
14078,2,Bajo
14079,1.5,Bajo
14080,1,Medio
14081,1,Medio
14082,2,Muy bajo
14083,2,Muy bajo
14084,1.5,Bajo
14085,2,Bajo
14086,1.5,Bajo
14087,1.5,Medio
14088,1.5,Bajo
14089,1,Bajo
14090,1.5,Muy bajo
14091,2,Bajo
14092,1.5,Bajo
14093,2,Muy bajo
14094,2,Muy bajo
14095,1.5,Bajo
14096,1.5,Bajo
14097,2.5,Muy bajo
14098,2.5,Muy bajo
14099,1.5,Medio
14100,1.5,Bajo
14101,2.5,Muy bajo
14102,1.5,Bajo
14103,1.5,Bajo
14104,1,Medio
14105,1.5,Bajo
14106,1,Alto
14107,1.5,Bajo
14108,2,Bajo
14109,1.5,Bajo
14110,1.5,Muy bajo
14111,1.5,Bajo
14112,1.5,Medio
14113,1.5,Medio
14114,1.5,Bajo
14115,1.5,Medio
14116,2,Muy bajo
14117,1.5,Medio
14118,1.5,Bajo
14119,2,Bajo
14120,3,Muy bajo
14121,2,Muy bajo
14122,1.5,Alto
14123,1.5,Medio
14124,2,Bajo
14125,1.5,Bajo
15001,1.5,Alto
15002,2,Muy bajo
15003,1.5,Alto
15004,1.5,Alto
15005,2,Medio
15006,1.5,Bajo
15007,1.5,Medio
15008,1.5,Alto
15009,2,Muy bajo
15010,1.5,Muy bajo
15011,2,Bajo
15012,1.5,Muy bajo
15013,3,Muy bajo
15014,2,Bajo
15015,1.5,Medio
15016,1.5,Bajo
15017,1.5,Bajo
15018,1.5,Muy bajo
15019,2,Muy bajo
15020,3,Muy bajo
15021,1.5,Medio
15022,1.5,Bajo
15023,2,Muy bajo
15024,2,Muy bajo
15025,2.5,Muy bajo
15026,1.5,Medio
15027,1.5,Muy bajo
15028,1.5,Bajo
15029,3,Muy bajo
15030,2,Muy bajo
15031,3,Bajo
15032,1.5,Alto
15033,3,Muy bajo
15034,1.5,Bajo
15035,2,Muy bajo
15036,1.5,Bajo
15037,2.5,Muy bajo
15038,1,Bajo
15039,2.5,Muy bajo
15040,2,Bajo
15041,1,Alto
15042,1.5,Medio
15043,2,Bajo
15044,2.5,Muy bajo
15045,1.5,Medio
15046,1.5,Bajo
15047,1.5,Medio
15048,1.5,Bajo
15049,1.5,Medio
15050,2,Bajo
15051,2,Muy bajo
15052,1.5,Medio
15053,2,Muy bajo
15054,2.5,Muy bajo
15055,1.5,Muy bajo
15056,1.5,Alto
15057,2,Muy bajo
15058,3,Muy bajo
15059,1.5,Bajo
15060,2,Muy bajo
15061,1.5,Bajo
15062,2,Muy bajo
15063,1.5,Medio
15064,1.5,Medio
15065,1.5,Bajo
15066,1,Alto
15067,1.5,Bajo
15068,2,Bajo
15069,1.5,Bajo
15070,2.5,Bajo
15071,1.5,Medio
15072,1.5,Muy bajo
15073,1.5,Muy bajo
15074,1.5,Alto
15075,1.5,Muy bajo
15076,2,Muy bajo
15077,1,Medio
15078,1,Medio
15079,1.5,Medio
15080,1.5,Alto
15081,2.5,Muy bajo
15082,2,Alto
15083,1.5,Muy bajo
15084,1.5,Bajo
15085,1.5,Medio
15086,1.5,Medio
15087,1.5,Medio
15088,1.5,Medio
15089,1.5,Bajo
15090,2,Bajo
15091,2,Muy bajo
15092,2,Muy bajo
15093,1.5,Bajo
15094,1.5,Bajo
15095,2,Muy bajo
15096,2,Muy bajo
15097,1.5,Alto
15098,1.5,Bajo
15099,2,Muy bajo
15100,2,Bajo
15101,1.5,Bajo
15102,1,Bajo
15103,2,Muy bajo
15104,2,Muy bajo
15105,1.5,Alto
15106,2.5,Muy bajo
15107,1.5,Bajo
15108,2,Muy bajo
15109,3,Muy bajo
15110,2,Bajo
15111,1.5,Alto
15112,1.5,Medio
15113,1.5,Medio
15114,1.5,Alto
15115,2,Muy bajo
15116,1.5,Medio
15117,1.5,Alto
15118,2,Muy bajo
15119,1.5,Alto
15120,2.5,Muy bajo
15121,2.5,Muy bajo
15122,3,Bajo
15123,1.5,Alto
15124,1.5,Alto
15125,1.5,Bajo
16001,1.5,Medio
16002,1.5,Medio
16003,1.5,Medio
16004,1.5,Bajo
16005,1.5,Medio
16006,2,Bajo
16007,1,Medio
16008,1,Muy alto
16009,2,Medio
16010,1.5,Medio
16011,1.5,Bajo
16012,1.5,Medio
16013,1.5,Muy alto
16014,1.5,Medio
16015,1.5,Alto
16016,1.5,Medio
16017,1.5,Medio
16018,1.5,Medio
16019,1.5,Bajo
16020,1.5,Medio
16021,1.5,Alto
16022,1.5,Bajo
16023,1.5,Bajo
16024,1.5,Alto
16025,1.5,Alto
16026,1,Alto
16027,1,Alto
16028,1.5,Bajo
16029,1.5,Alto
16030,1.5,Bajo
16031,1,Alto
16032,1.5,Medio
16033,1.5,Medio
16034,2,Medio
16035,1.5,Alto
16036,1.5,Bajo
16037,1.5,Medio
16038,2,Medio
16039,1.5,Medio
16040,1.5,Medio
16041,1.5,Alto
16042,1.5,Bajo
16043,2,Bajo
16044,1.5,Bajo
16045,2,Muy bajo
16046,1.5,Medio
16047,1.5,Medio
16048,1,Medio
16049,1.5,Alto
16050,2,Medio
16051,1.5,Muy bajo
16052,2.5,Muy bajo
16053,2,Muy bajo
16054,1,Medio
16055,2,Medio
16056,1.5,Alto
16057,1.5,Muy alto
16058,1.5,Bajo
16059,1,Alto
16060,1.5,Bajo
16061,1.5,Alto
16062,1.5,Bajo
16063,1.5,Medio
16064,1.5,Alto
16065,2,Medio
16066,2,Bajo
16067,1.5,Medio
16068,2,Bajo
16069,2.5,Muy bajo
16070,1.5,Bajo
16071,2,Medio
16072,1.5,Medio
16073,1.5,Medio
16074,1.5,Bajo
16075,2,Bajo
16076,2,Muy bajo
16077,1.5,Alto
16078,1.5,Bajo
16079,1.5,Medio
16080,1.5,Medio
16081,1,Muy alto
16082,2,Bajo
16083,1.5,Medio
16084,1.5,Alto
16085,2,Bajo
16086,1.5,Bajo
16087,1.5,Bajo
16088,1.5,Bajo
16089,2,Bajo
16090,1.5,Medio
16091,1.5,Bajo
16092,1.5,Muy alto
16093,1.5,Alto
16094,1.5,Bajo
16095,1.5,Bajo
16096,1.5,Muy alto
16097,1.5,Alto
16098,1.5,Medio
16099,1.5,Alto
16100,1.5,Medio
16101,1,Muy alto
16102,2,Muy bajo
16103,1.5,Bajo
16104,1.5,Medio
16105,1.5,Bajo
16106,2,Bajo
16107,2,Bajo
16108,2,Bajo
16109,1,Bajo
16110,2,Bajo
16111,1.5,Medio
16112,2,Bajo
16113,1.5,Bajo
17001,1.5,Bajo
17002,1.5,Medio
17003,2,Medio
17004,1.5,Bajo
17005,1,Medio
17006,2,Muy bajo
17007,2,Muy bajo
17008,2,Muy bajo
17009,1.5,Bajo
17010,1.5,Bajo
17011,2,Muy bajo
17012,2,Muy bajo
17013,1.5,Bajo
17014,1.5,Bajo
17015,1.5,Medio
17016,1.5,Medio
17017,2,Bajo
17018,2,Bajo
17019,1.5,Medio
17020,1.5,Bajo
17021,1.5,Medio
17022,1.5,Bajo
17023,1.5,Alto
17024,2,Bajo
17025,2,Bajo
17026,1.5,Bajo
17027,1.5,Medio
17028,2,Bajo
17029,2,Bajo
17030,2,Bajo
17031,2,Muy bajo
17032,1.5,Bajo
17033,1.5,Medio
18001,2,Medio
18002,1.5,Muy bajo
18003,1.5,Bajo
18004,2,Bajo
18005,1.5,Muy alto
18006,2,Muy bajo
18007,1.5,Medio
18008,2,Muy bajo
18009,1.5,Muy alto
18010,1.5,Bajo
18011,1.5,Medio
18012,1.5,Bajo
18013,1.5,Bajo
18014,1.5,Medio
18015,2,Bajo
18016,1.5,Bajo
18017,2,Muy bajo
18018,2,Bajo
18019,1,Alto
18020,2,Muy bajo
19001,1,Bajo
19002,1,Bajo
19003,1,Bajo
19004,2,Muy bajo
19005,2,Bajo
19006,2,Muy bajo
19007,1.5,Alto
19008,1.5,Bajo
19009,2,Muy bajo
19010,1.5,Muy bajo
19011,1.5,Muy bajo
19012,2,Muy bajo
19013,1.5,Bajo
19014,1.5,Alto
19015,1,Bajo
19016,1,Bajo
19017,1.5,Medio
19018,2.5,Muy bajo
19019,3,Muy bajo
19020,1.5,Bajo
19021,3,Muy bajo
19022,1.5,Bajo
19023,1,Bajo
19024,1,Alto
19025,2,Muy bajo
19026,2,Muy bajo
19027,1,Bajo
19028,1,Bajo
19029,1.5,Muy bajo
19030,1,Medio
19031,3,Muy bajo
19032,1.5,Muy bajo
19033,2.5,Muy bajo
19034,1.5,Muy bajo
19035,1,Muy bajo
19036,1,Alto
19037,1.5,Bajo
19038,2,Muy bajo
19039,3,Muy bajo
19040,1,Bajo
19041,1.5,Muy bajo
19042,1,Bajo
19043,1,Alto
19044,2,Muy bajo
19045,1.5,Muy bajo
19046,5,Muy bajo
19047,2,Muy bajo
19048,3,Muy bajo
19049,2,Muy bajo
19050,1,Bajo
19051,1.5,Bajo
20001,1,Alto
20002,1.5,Alto
20003,1,Muy alto
20004,1,Medio
20005,1.5,Medio
20006,1.5,Medio
20007,2,Muy alto
20008,1,Alto
20009,1.5,Alto
20010,1.5,Bajo
20011,1,Alto
20012,1,Muy alto
20013,1.5,Medio
20014,2,Bajo
20015,1.5,Muy alto
20016,1,Muy alto
20017,1,Alto
20018,1,Alto
20019,1,Alto
20020,1,Muy alto
20021,1.5,Medio
20022,1,Medio
20023,1.5,Bajo
20024,1,Muy alto
20025,1.5,Medio
20026,1,Alto
20027,1,Muy alto
20028,1.5,Alto
20029,1,Muy alto
20030,1.5,Muy bajo
20031,1.5,Alto
20032,1,Alto
20033,1,Bajo
20034,1,Alto
20035,1,Muy bajo
20036,1,Medio
20037,1,Muy alto
20038,1,Medio
20039,2.5,Bajo
20040,1,Muy alto
20041,1.5,Muy alto
20042,1.5,Medio
20043,2,Bajo
20044,2,Medio
20045,1.5,Bajo
20046,1,Alto
20047,1,Medio
20048,1,Muy alto
20049,1,Alto
20050,1,Muy alto
20051,1.5,Muy alto
20052,1.5,Alto
20053,1,Medio
20054,1,Alto
20055,1,Alto
20056,1,Alto
20057,2,Medio
20058,1,Muy alto
20059,2,Medio
20060,1,Muy alto
20061,1,Alto
20062,1,Bajo
20063,1.5,Bajo
20064,1,Alto
20065,1,Alto
20066,1.5,Medio
20067,2,Muy bajo
20068,2,Medio
20069,1,Muy alto
20070,1.5,Alto
20071,1,Muy alto
20072,1.5,Alto
20073,1.5,Alto
20074,1,Alto
20075,1.5,Medio
20076,1,Alto
20077,1,Medio
20078,1,Bajo
20079,2.5,Muy bajo
20080,1,Alto
20081,1,Alto
20082,1,Alto
20083,1.5,Bajo
20084,1.5,Muy bajo
20085,1,Muy alto
20086,1,Alto
20087,1.5,Medio
20088,1,Muy alto
20089,1,Medio
20090,1.5,Alto
20091,1.5,Muy bajo
20092,1,Medio
20093,1,Bajo
20094,1,Muy alto
20095,1,Muy alto
20096,1,Medio
20097,1,Alto
20098,1,Muy alto
20099,1,Muy alto
20100,1,Alto
20101,1,Alto
20102,1,Medio
20103,1.5,Alto
20104,1,Alto
20105,1,Alto
20106,1,Alto
20107,2,Bajo
20108,1,Alto
20109,1,Medio
20110,1,Muy alto
20111,1.5,Muy alto
20112,1,Alto
20113,1,Alto
20114,1,Alto
20115,1.5,Bajo
20116,1.5,Muy alto
20117,1,Alto
20118,1,Alto
20119,1,Alto
20120,1,Medio
20121,1,Medio
20122,1,Medio
20123,1,Alto
20124,1.5,Muy alto
20125,1,Alto
20126,1.5,Muy alto
20127,1,Muy alto
20128,1,Alto
20129,1,Medio
20130,1.5,Alto
20131,1.5,Alto
20132,1,Medio
20133,1,Muy alto
20134,1.5,Muy alto
20135,1,Medio
20136,1.5,Alto
20137,1,Muy alto
20138,1,Medio
20139,1,Muy alto
20140,1,Medio
20141,1.5,Alto
20142,1,Alto
20143,1.5,Alto
20144,1,Alto
20145,1.5,Bajo
20146,1,Alto
20147,1,Alto
20148,1,Muy alto
20149,1,Muy alto
20150,1.5,Bajo
20151,1,Alto
20152,1,Muy alto
20153,1.5,Alto
20154,1,Alto
20155,1,Muy alto
20156,1,Medio
20157,2,Muy bajo
20158,1,Muy alto
20159,1,Muy alto
20160,1,Alto
20161,1,Alto
20162,1,Muy alto
20163,1,Alto
20164,1,Alto
20165,1,Alto
20166,1.5,Medio
20167,1,Muy alto
20168,1,Alto
20169,1,Muy alto
20170,1,Muy alto
20171,1,Muy alto
20172,1,Medio
20173,1,Alto
20174,1.5,Bajo
20175,1,Alto
20176,1,Alto
20177,1.5,Alto
20178,1,Bajo
20179,1,Alto
20180,1,Alto
20181,1,Alto
20182,1,Muy alto
20183,1,Alto
20184,2,Bajo
20185,1.5,Alto
20186,1,Medio
20187,1,Muy alto
20188,1.5,Alto
20189,1,Muy alto
20190,1.5,Alto
20191,1,Medio
20192,1,Bajo
20193,1.5,Medio
20194,1,Medio
20195,1,Muy alto
20196,1,Bajo
20197,1.5,Alto
20198,1.5,Alto
20199,1,Alto
20200,1,Muy alto
20201,1,Alto
20202,1,Alto
20203,1,Muy alto
20204,1,Alto
20205,1,Muy alto
20206,1,Alto
20207,1,Alto
20208,1,Muy alto
20209,1,Muy alto
20210,1,Alto
20211,1,Muy alto
20212,1,Muy alto
20213,1,Alto
20214,1,Alto
20215,1,Medio
20216,1,Alto
20217,1,Muy alto
20218,1,Alto
20219,1.5,Alto
20220,1,Alto
20221,1,Alto
20222,1,Alto
20223,1,Alto
20224,1,Medio
20225,1,Muy alto
20226,1,Alto
20227,1.5,Muy bajo
20228,1,Muy alto
20229,1,Muy alto
20230,1,Medio
20231,1.5,Muy alto
20232,1.5,Muy alto
20233,1,Alto
20234,1,Muy alto
20235,1,Muy alto
20236,1,Muy alto
20237,1,Medio
20238,1,Alto
20239,1,Alto
20240,1,Muy alto
20241,1,Alto
20242,1.5,Muy alto
20243,1,Medio
20244,1,Alto
20245,1,Alto
20246,1,Alto
20247,1,Bajo
20248,1.5,Muy alto
20249,1.5,Alto
20250,1,Alto
20251,1,Muy alto
20252,1,Muy alto
20253,1,Muy alto
20254,1,Alto
20255,1,Muy alto
20256,1,Medio
20257,1,Muy alto
20258,1,Alto
20259,1,Muy alto
20260,1,Alto
20261,1,Alto
20262,1,Medio
20263,1,Muy alto
20264,1,Muy alto
20265,1,Alto
20266,1,Muy alto
20267,1,Bajo
20268,1,Alto
20269,1,Alto
20270,1,Muy alto
